	filename	orbital.tightening	nose.bulge	cheek.bulge	ear.position	whisker.change	average.picture	rejected
31	MVI_0386_LE028_w0_t1_vb_01_min_24_sec_16.png	3	2	2	3	-1	2.5	0
32	MVI_0386_LE028_w0_t1_vb_05_min_39_sec_64.png	5	4	4	3	3	3.8	0
33	MVI_0386_LE028_w0_t1_vb_09_min_31_sec_80.png	3	3	3	2	2	2.6	0
34	MVI_0387_LE029_w0_t1_vb_00_min_00_sec_0.png	3	2	3	3	2	2.6	0
35	MVI_0387_LE029_w0_t1_vb_00_min_03_sec_0.png	3	3	4	5	3	3.6	0
36	MVI_0387_LE029_w0_t1_vb_01_min_15_sec_68.png	4	3	4	4	3	3.6	0
37	MVI_0387_LE029_w0_t1_vb_01_min_36_sec_88.png	3	3	2	4	2	2.8	0
38	MVI_0387_LE029_w0_t1_vb_02_min_34_sec_40.png	3	2	4	5	4	3.6	0
39	MVI_0392_LE036_w0_t2_vb_06_min_59_sec_40.png	0	0	0	0	0	0	1
40	MVI_0387_LE029_w0_t1_vb_03_min_13_sec_76.png	4	3	3	3	2	3	0
41	MVI_0387_LE029_w0_t1_vb_03_min_31_sec_96.png	3	2	2	3	2	2.4	0
42	MVI_0387_LE029_w0_t1_vb_03_min_53_sec_12.png	3	3	3	4	3	3.2	0
43	MVI_0387_LE029_w0_t1_vb_04_min_38_sec_56.png	4	3	4	3	2	3.2	0
44	MVI_0387_LE030_w0_t1_vb_01_min_00_sec_56.png	4	3	3	2	2	2.8	0
45	MVI_0387_LE030_w0_t1_vb_01_min_24_sec_76.png	3	2	3	2	2	2.4	0
46	MVI_0387_LE030_w0_t1_vb_07_min_34_sec_20.png	2	2	3	4	2	2.6	0
47	MVI_0387_LE030_w0_t1_vb_07_min_37_sec_20.png	3	3	4	3	2	3	0
48	MVI_0387_LE030_w0_t1_vb_08_min_13_sec_56.png	3	3	4	4	3	3.4	0
49	MVI_0387_LE030_w0_t1_vb_08_min_34_sec_76.png	4	3	4	3	2	3.2	0
50	MVI_0387_LE031_w0_t1_vb_02_min_16_sec_24.png	2	1	2	2	2	1.8	0
51	MVI_0387_LE031_w0_t1_vb_04_min_26_sec_44.png	2	2	2	3	2	2.2	0
52	MVI_0387_LE031_w0_t1_vb_04_min_47_sec_64.png	1	1	2	1	1	1.2	0
53	MVI_0387_LE031_w0_t1_vb_06_min_18_sec_48.png	3	3	3	4	3	3.2	0
54	MVI_0387_LE031_w0_t1_vb_06_min_21_sec_52.png	2	1	3	2	1	1.8	0
55	MVI_0387_LE031_w0_t1_vb_06_min_48_sec_76.png	1	1	2	2	1	1.4	0
56	MVI_0387_LE031_w0_t1_vb_09_min_53_sec_48.png	3	2	2	4	2	2.6	0
57	MVI_0387_LE032_w0_t1_vb_02_min_52_sec_56.png	4	2	3	2	2	2.6	0
58	MVI_0387_LE032_w0_t1_vb_04_min_14_sec_32.png	3	2	3	2	2	2.4	0
59	MVI_0387_LE032_w0_t1_vb_04_min_20_sec_40.png	2	2	3	2	2	2.2	0
60	MVI_0387_LE032_w0_t1_vb_06_min_36_sec_64.png	2	1	1	1	1	1.2	0
61	MVI_0387_LE032_w0_t1_vb_09_min_08_sec_40.png	4	3	3	2	2	2.8	0
62	MVI_0387_LE032_w0_t1_vb_09_min_38_sec_32.png	6	3	5	4	3	4.2	0
63	MVI_0387_LE032_w0_t1_vb_09_min_47_sec_40.png	4	3	3	2	2	2.8	0
64	MVI_0387_LE032_w0_t1_vb_09_min_56_sec_48.png	2	2	3	3	2	2.4	0
65	MVI_0388_LE033_w0_t1_vb_00_min_00_sec_0.png	3	3	3	2	2	2.6	0
66	MVI_0388_LE033_w0_t1_vb_00_min_12_sec_40.png	2	3	3	2	2	2.4	0
67	MVI_0388_LE033_w0_t1_vb_01_min_06_sec_36.png	3	2	4	4	2	3	0
68	MVI_0388_LE033_w0_t1_vb_05_min_46_sec_88.png	4	2	3	3	2	2.8	0
69	MVI_0388_LE033_w0_t1_vb_05_min_49_sec_88.png	3	2	3	3	2	2.6	0
70	MVI_0388_LE033_w0_t1_vb_06_min_01_sec_96.png	5	3	4	4	3	3.8	0
71	MVI_0388_LE033_w0_t1_vb_06_min_04_sec_96.png	5	3	2	3	2	3	0
72	MVI_0388_LE033_w0_t1_vb_06_min_08_sec_0.png	6	4	4	5	4	4.6	0
73	MVI_0388_LE033_w0_t1_vb_07_min_02_sec_28.png	4	3	4	5	3	3.8	0
74	MVI_0388_LE033_w0_t1_vb_09_min_33_sec_80.png	4	3	3	4	2	3.2	0
75	MVI_0388_LE034_w0_t1_vb_04_min_16_sec_36.png	2	3	2	2	2	2.2	0
76	MVI_0388_LE034_w0_t1_vb_04_min_31_sec_44.png	3	2	2	4	2	2.6	0
77	MVI_0388_LE034_w0_t1_vb_05_min_40_sec_84.png	3	2	3	4	3	3	0
78	MVI_0388_LE034_w0_t1_vb_06_min_32_sec_12.png	3	2	2	2	2	2.2	0
79	MVI_0388_LE035_w0_t1_vb_01_min_03_sec_32.png	2	2	3	3	2	2.4	0
80	MVI_0388_LE035_w0_t1_vb_03_min_52_sec_24.png	3	2	3	3	2	2.6	0
81	MVI_0388_LE035_w0_t1_vb_06_min_41_sec_16.png	2	2	2	3	2	2.2	0
82	MVI_0388_LE035_w0_t1_vb_08_min_47_sec_84.png	3	2	3	4	2	2.8	0
83	MVI_0388_LE036_w0_t1_vb_02_min_33_sec_80.png	4	2	3	1	2	2.4	0
84	MVI_0388_LE036_w0_t1_vb_05_min_49_sec_88.png	3	1	2	4	2	2.4	0
85	MVI_0388_LE036_w0_t1_vb_05_min_52_sec_88.png	2	2	3	3	2	2.4	0
86	MVI_0388_LE036_w0_t1_vb_05_min_58_sec_92.png	4	2	2	4	2	2.8	0
87	MVI_0388_LE036_w0_t1_vb_06_min_41_sec_16.png	1	1	1	1	1	1	0
88	MVI_0388_LE036_w0_t1_vb_08_min_56_sec_88.png	2	1	3	2	2	2	0
89	MVI_0390_LE025_w0_t2_vb_03_min_52_sec_52.png	0	0	0	0	0	0	1
90	MVI_0388_LE036_w0_t1_vb_09_min_30_sec_80.png	4	3	4	2	2	3	0
91	MVI_0388_LE036_w0_t1_vb_09_min_33_sec_80.png	2	2	3	1	2	2	0
92	MVI_0390_LE026_w0_t2_vb_06_min_24_sec_44.png	0	0	0	0	0	0	1
93	MVI_0390_LE025_w0_t2_vb_00_min_27_sec_88.png	5	3	3	5	4	4	0
94	MVI_0390_LE025_w0_t2_vb_00_min_37_sec_20.png	7	4	4	5	3	4.6	0
95	MVI_0390_LE025_w0_t2_vb_01_min_20_sec_60.png	4	3	4	6	-1	4.25	0
96	MVI_0390_LE025_w0_t2_vb_03_min_06_sec_0.png	4	3	3	4	3	3.4	0
97	MVI_0390_LE025_w0_t2_vb_08_min_12_sec_96.png	4	3	3	3	2	3	0
98	MVI_0390_LE027_w0_t2_vb_03_min_15_sec_32.png	0	0	0	0	0	0	1
99	MVI_0390_LE025_w0_t2_vb_08_min_40_sec_84.png	4	3	2	2	2	2.6	0
100	MVI_0390_LE025_w0_t2_vb_08_min_47_sec_40.png	4	2	2	4	2	2.8	0
101	MVI_0390_LE025_w0_t2_vb_08_min_53_sec_24.png	4	3	4	2	2	3	0
102	MVI_0390_LE027_w0_t2_vb_08_min_47_sec_40.png	0	0	0	0	0	0	1
103	MVI_0390_LE025_w0_t2_vb_09_min_21_sec_16.png	3	2	4	5	2	3.2	0
104	MVI_0390_LE026_w0_t2_vb_01_min_11_sec_28.png	1	1	3	2	1	1.6	0
105	MVI_0390_LE026_w0_t2_vb_02_min_53_sec_60.png	3	2	3	3	2	2.6	0
106	MVI_0390_LE026_w0_t2_vb_03_min_12_sec_20.png	2	3	3	4	2	2.8	0
107	MVI_0390_LE026_w0_t2_vb_07_min_29_sec_52.png	4	3	3	4	2	3.2	0
108	MVI_0390_LE027_w0_t2_vb_00_min_34_sec_80.png	3	2	4	4	3	3.2	0
109	MVI_0390_LE027_w0_t2_vb_01_min_33_sec_0.png	4	3	4	5	2	3.6	0
110	MVI_0390_LE027_w0_t2_vb_03_min_21_sec_52.png	3	2	3	4	2	2.8	0
111	MVI_0390_LE027_w0_t2_vb_04_min_26_sec_60.png	6	3	4	4	2	3.8	0
112	MVI_0390_LE027_w0_t2_vb_05_min_10_sec_40.png	3	3	3	3	2	2.8	0
113	MVI_0390_LE027_w0_t2_vb_06_min_12_sec_40.png	4	3	4	4	2	3.4	0
114	MVI_0390_LE027_w0_t2_vb_06_min_49_sec_24.png	3	2	3	4	3	3	0
115	MVI_0390_LE027_w0_t2_vb_10_min_16_sec_96.png	4	2	2	4	2	2.8	0
116	MVI_0390_LE028_w0_t2_vb_02_min_35_sec_0.png	1	1	2	2	1	1.4	0
117	MVI_0390_LE028_w0_t2_vb_02_min_50_sec_52.png	2	2	3	2	2	2.2	0
118	MVI_0390_LE028_w0_t2_vb_04_min_01_sec_80.png	4	2	3	3	2	2.8	0
119	MVI_0390_LE028_w0_t2_vb_04_min_08_sec_0.png	2	2	2	2	1	1.8	0
120	MVI_0390_LE028_w0_t2_vb_07_min_14_sec_40.png	3	2	3	3	2	2.6	0
121	MVI_0390_LE028_w0_t2_vb_07_min_17_sec_12.png	3	2	3	2	2	2.4	0
122	MVI_0390_LE028_w0_t2_vb_07_min_35_sec_72.png	2	2	2	2	2	2	0
123	MVI_0390_LE028_w0_t2_vb_07_min_41_sec_92.png	4	3	2	2	2	2.6	0
124	MVI_0390_LE028_w0_t2_vb_09_min_02_sec_56.png	4	3	3	3	2	3	0
125	MVI_0390_LE028_w0_t2_vb_09_min_18_sec_40.png	3	2	3	2	2	2.4	0
126	MVI_0391_LE029_w0_t2_vb_00_min_03_sec_32.png	1	2	3	2	1	1.8	0
127	MVI_0391_LE029_w0_t2_vb_00_min_06_sec_64.png	1	2	2	2	1	1.6	0
128	MVI_0391_LE029_w0_t2_vb_00_min_26_sec_60.png	4	2	3	3	3	3	0
129	MVI_0391_LE029_w0_t2_vb_00_min_29_sec_92.png	4	3	3	2	2	2.8	0
130	MVI_0473_LE034_w2_t2_vb_06_min_37_sec_96.png	3	1	3	0	0	1.4	1
131	MVI_0473_LE034_w2_t2_vb_07_min_19_sec_16.png	0	0	0	0	0	0	1
132	MVI_0473_LE034_w2_t2_vb_07_min_36_sec_32.png	0	0	0	0	0	0	1
133	MVI_0391_LE029_w0_t2_vb_08_min_28_sec_72.png	5	3	3	5	3	3.8	0
134	MVI_0391_LE029_w0_t2_vb_08_min_38_sec_72.png	4	2	3	3	2	2.8	0
135	MVI_0391_LE029_w0_t2_vb_09_min_11_sec_96.png	4	2	3	3	3	3	0
136	MVI_0473_LE035_w2_t2_vb_00_min_54_sec_88.png	0	0	0	0	0	0	1
137	MVI_0391_LE029_w0_t2_vb_09_min_15_sec_28.png	4	3	3	4	3	3.4	0
138	MVI_0391_LE029_w0_t2_vb_09_min_18_sec_60.png	4	2	4	4	3	3.4	0
139	MVI_0391_LE029_w0_t2_vb_09_min_21_sec_92.png	4	3	3	4	3	3.4	0
140	MVI_0391_LE030_w0_t2_vb_00_min_06_sec_64.png	3	2	3	2	2	2.4	0
141	MVI_0391_LE030_w0_t2_vb_00_min_09_sec_96.png	2	2	2	3	2	2.2	0
142	MVI_0391_LE030_w0_t2_vb_00_min_56_sec_52.png	4	3	4	3	2	3.2	0
143	MVI_0391_LE030_w0_t2_vb_01_min_03_sec_16.png	3	3	4	4	2	3.2	0
144	MVI_0391_LE030_w0_t2_vb_01_min_13_sec_12.png	4	3	4	3	2	3.2	0
145	MVI_0391_LE030_w0_t2_vb_02_min_06_sec_32.png	3	4	3	2	2	2.8	0
146	MVI_0391_LE030_w0_t2_vb_03_min_09_sec_52.png	1	2	3	2	1	1.8	0
147	MVI_0391_LE030_w0_t2_vb_09_min_05_sec_32.png	3	2	3	2	1	2.2	0
148	MVI_0391_LE030_w0_t2_vb_09_min_25_sec_28.png	2	2	3	2	2	2.2	0
149	MVI_0391_LE030_w0_t2_vb_09_min_45_sec_20.png	4	3	4	1	1	2.6	0
150	MVI_0391_LE031_w0_t2_vb_00_min_00_sec_0.png	2	2	2	3	2	2.2	0
151	MVI_0391_LE031_w0_t2_vb_00_min_19_sec_92.png	1	1	2	2	1	1.4	0
152	MVI_0391_LE031_w0_t2_vb_01_min_36_sec_40.png	2	3	2	2	2	2.2	0
153	MVI_0391_LE031_w0_t2_vb_02_min_29_sec_60.png	3	3	4	4	3	3.4	0
154	MVI_0391_LE031_w0_t2_vb_03_min_36_sec_12.png	2	2	3	4	2	2.6	0
155	MVI_0391_LE031_w0_t2_vb_08_min_28_sec_72.png	4	2	2	3	2	2.6	0
156	MVI_0391_LE031_w0_t2_vb_08_min_55_sec_32.png	3	3	2	3	2	2.6	0
157	MVI_0391_LE031_w0_t2_vb_09_min_28_sec_60.png	3	2	2	2	2	2.2	0
158	MVI_0391_LE031_w0_t2_vb_09_min_35_sec_24.png	3	1	2	2	1	1.8	0
159	MVI_0391_LE031_w0_t2_vb_09_min_38_sec_56.png	2	2	3	2	2	2.2	0
160	MVI_0391_LE032_w0_t2_vb_01_min_06_sec_48.png	3	3	4	2	2	2.8	0
161	MVI_0391_LE032_w0_t2_vb_01_min_26_sec_44.png	1	1	2	1	1	1.2	0
162	MVI_0391_LE032_w0_t2_vb_02_min_26_sec_28.png	1	1	3	2	2	1.8	0
163	MVI_0391_LE032_w0_t2_vb_03_min_16_sec_16.png	2	2	3	2	3	2.4	0
164	MVI_0391_LE032_w0_t2_vb_05_min_05_sec_88.png	4	2	3	2	2	2.6	0
165	MVI_0391_LE032_w0_t2_vb_06_min_25_sec_72.png	1	1	2	1	1	1.2	0
166	MVI_0391_LE032_w0_t2_vb_07_min_55_sec_48.png	3	2	3	2	2	2.4	0
167	MVI_0391_LE032_w0_t2_vb_09_min_05_sec_32.png	2	1	2	1	1	1.4	0
168	MVI_0391_LE032_w0_t2_vb_09_min_11_sec_96.png	3	2	3	2	2	2.4	0
169	MVI_0391_LE032_w0_t2_vb_10_min_08_sec_48.png	4	3	4	3	2	3.2	0
170	MVI_0392_LE033_w0_t2_vb_00_min_03_sec_40.png	1	2	2	2	1	1.6	0
171	MVI_0392_LE033_w0_t2_vb_00_min_06_sec_12.png	4	2	3	2	2	2.6	0
172	MVI_0472_LE030_w2_t2_vb_07_min_11_sec_0.png	0	0	0	0	0	0	1
173	MVI_0392_LE033_w0_t2_vb_00_min_15_sec_28.png	3	2	2	2	2	2.2	0
174	MVI_0392_LE033_w0_t2_vb_00_min_21_sec_40.png	5	3	3	2	2	3	0
175	MVI_0392_LE033_w0_t2_vb_02_min_05_sec_52.png	4	3	4	4	3	3.6	0
176	MVI_0392_LE033_w0_t2_vb_02_min_08_sec_56.png	4	3	4	4	3	3.6	0
177	MVI_0392_LE033_w0_t2_vb_02_min_11_sec_64.png	4	3	4	4	3	3.6	0
178	MVI_0392_LE033_w0_t2_vb_02_min_36_sec_12.png	5	3	3	5	3	3.8	0
179	MVI_0392_LE033_w0_t2_vb_04_min_23_sec_28.png	3	2	4	2	3	2.8	0
180	MVI_0472_LE031_w2_t2_vb_06_min_57_sec_44.png	0	0	0	0	0	0	1
181	MVI_0392_LE033_w0_t2_vb_07_min_36_sec_16.png	4	4	2	2	2	2.8	0
182	MVI_0392_LE034_w0_t2_vb_01_min_25_sec_72.png	2	3	3	3	2	2.6	0
183	MVI_0392_LE034_w0_t2_vb_02_min_08_sec_56.png	4	3	5	4	4	4	0
184	MVI_0392_LE034_w0_t2_vb_02_min_39_sec_20.png	2	2	3	4	2	2.6	0
185	MVI_0472_LE031_w2_t2_vb_01_min_52_sec_0.png	0	0	0	0	0	0	1
186	MVI_0392_LE034_w0_t2_vb_04_min_32_sec_48.png	3	3	4	2	2	2.8	0
187	MVI_0392_LE034_w0_t2_vb_06_min_28_sec_80.png	3	3	4	3	2	3	0
188	MVI_0392_LE034_w0_t2_vb_07_min_33_sec_80.png	4	3	3	3	2	3	0
189	MVI_0392_LE034_w0_t2_vb_10_min_09_sec_24.png	5	3	4	3	3	3.6	0
190	MVI_0392_LE035_w0_t2_vb_01_min_19_sec_60.png	2	3	2	2	2	2.2	0
191	MVI_0392_LE035_w0_t2_vb_04_min_04_sec_92.png	2	1	3	2	2	2	0
192	MVI_0392_LE035_w0_t2_vb_04_min_17_sec_16.png	4	2	3	3	2	2.8	0
193	MVI_0392_LE035_w0_t2_vb_05_min_12_sec_28.png	3	2	3	1	2	2.2	0
194	MVI_0392_LE035_w0_t2_vb_06_min_25_sec_76.png	3	3	3	4	2	3	0
195	MVI_0392_LE035_w0_t2_vb_09_min_50_sec_88.png	4	3	2	2	2	2.6	0
196	MVI_0392_LE035_w0_t2_vb_10_min_00_sec_40.png	4	3	3	1	2	2.6	0
197	MVI_0392_LE036_w0_t2_vb_01_min_31_sec_84.png	1	3	2	4	2	2.4	0
198	MVI_0392_LE036_w0_t2_vb_02_min_14_sec_68.png	4	3	4	5	3	3.8	0
199	MVI_0392_LE036_w0_t2_vb_02_min_17_sec_76.png	4	3	2	4	2	3	0
200	MVI_0392_LE036_w0_t2_vb_02_min_23_sec_88.png	5	3	4	5	4	4.2	0
201	MVI_0392_LE036_w0_t2_vb_04_min_01_sec_84.png	1	2	2	3	2	2	0
202	MVI_0392_LE036_w0_t2_vb_04_min_23_sec_28.png	1	1	2	2	1	1.4	0
203	MVI_0392_LE036_w0_t2_vb_04_min_56_sec_96.png	4	3	3	2	2	2.8	0
204	MVI_0392_LE036_w0_t2_vb_05_min_42_sec_88.png	3	2	2	2	2	2.2	0
205	MVI_0392_LE036_w0_t2_vb_06_min_01_sec_24.png	2	2	2	2	2	2	0
206	MVI_0471_LE026_w2_t2_vb_00_min_36_sec_92.png	0	0	0	0	0	0	1
207	MVI_0417_LE025_w1_t1_vb_00_min_06_sec_0.png	4	4	4	2	3	3.4	0
208	MVI_0417_LE025_w1_t1_vb_01_min_06_sec_20.png	4	3	4	4	3	3.6	0
209	MVI_0417_LE025_w1_t1_vb_01_min_36_sec_32.png	4	3	4	5	4	4	0
210	MVI_0417_LE025_w1_t1_vb_01_min_39_sec_32.png	4	3	4	5	3	3.8	0
211	MVI_0417_LE025_w1_t1_vb_01_min_54_sec_36.png	3	4	3	3	3	3.2	0
212	MVI_0417_LE025_w1_t1_vb_07_min_19_sec_48.png	4	3	4	4	3	3.6	0
213	MVI_0417_LE025_w1_t1_vb_07_min_31_sec_52.png	4	3	2	3	2	2.8	0
214	MVI_0417_LE025_w1_t1_vb_07_min_37_sec_52.png	4	3	4	5	3	3.8	0
215	MVI_0417_LE026_w1_t1_vb_00_min_24_sec_80.png	8	6	6	8	5	6.6	0
216	MVI_0417_LE026_w1_t1_vb_01_min_33_sec_28.png	2	3	4	4	3	3.2	0
217	MVI_0417_LE026_w1_t1_vb_02_min_30_sec_48.png	5	4	4	5	3	4.2	0
218	MVI_0417_LE026_w1_t1_vb_03_min_54_sec_76.png	2	3	3	4	2	2.8	0
219	MVI_0417_LE026_w1_t1_vb_05_min_07_sec_40.png	7	4	4	5	4	4.8	0
220	MVI_0417_LE026_w1_t1_vb_05_min_10_sec_40.png	5	3	3	5	3	3.8	0
221	MVI_0417_LE026_w1_t1_vb_06_min_58_sec_40.png	4	4	4	5	4	4.2	0
222	MVI_0417_LE026_w1_t1_vb_07_min_01_sec_40.png	7	4	4	5	4	4.8	0
223	MVI_0417_LE026_w1_t1_vb_07_min_22_sec_48.png	4	3	4	4	3	3.6	0
224	MVI_0417_LE026_w1_t1_vb_08_min_52_sec_80.png	4	3	3	3	-1	3.25	0
225	MVI_0417_LE027_w1_t1_vb_00_min_36_sec_12.png	3	2	0	0	0	1	0
226	MVI_0417_LE027_w1_t1_vb_01_min_48_sec_36.png	3	2	3	3	2	2.6	0
227	MVI_0417_LE027_w1_t1_vb_02_min_45_sec_56.png	4	3	4	4	3	3.6	0
228	MVI_0417_LE027_w1_t1_vb_02_min_54_sec_56.png	3	4	4	4	2	3.4	0
229	MVI_0417_LE027_w1_t1_vb_03_min_27_sec_68.png	3	3	4	4	3	3.4	0
230	MVI_0417_LE027_w1_t1_vb_05_min_58_sec_20.png	2	3	4	3	2	2.8	0
231	MVI_0417_LE027_w1_t1_vb_06_min_49_sec_36.png	4	3	3	3	3	3.2	0
232	MVI_0417_LE027_w1_t1_vb_06_min_52_sec_36.png	5	3	4	5	4	4.2	0
233	MVI_0417_LE027_w1_t1_vb_09_min_46_sec_96.png	3	2	4	3	2	2.8	0
234	MVI_0417_LE028_w1_t1_vb_04_min_15_sec_84.png	4	3	3	2	2	2.8	0
235	MVI_0417_LE028_w1_t1_vb_05_min_52_sec_16.png	3	3	4	3	3	3.2	0
236	MVI_0417_LE028_w1_t1_vb_06_min_19_sec_28.png	5	3	4	5	3	4	0
237	MVI_0417_LE028_w1_t1_vb_06_min_37_sec_32.png	3	3	4	2	2	2.8	0
238	MVI_0417_LE028_w1_t1_vb_07_min_34_sec_52.png	4	3	5	3	3	3.6	0
239	MVI_0417_LE028_w1_t1_vb_08_min_46_sec_76.png	8	6	4	6	5	5.8	0
240	MVI_0417_LE028_w1_t1_vb_09_min_07_sec_84.png	4	3	4	3	3	3.4	0
241	MVI_0418_LE029_w1_t1_vb_00_min_09_sec_0.png	5	3	4	4	-1	4	0
242	MVI_0418_LE029_w1_t1_vb_01_min_09_sec_20.png	3	4	3	5	4	3.8	0
243	MVI_0420_LE025_w1_t1_nb_09_min_39_sec_88.png	0	0	0	0	0	0	1
244	MVI_0418_LE029_w1_t1_vb_01_min_21_sec_20.png	4	3	5	5	-1	4.25	0
245	MVI_0418_LE029_w1_t1_vb_02_min_03_sec_36.png	3	4	5	5	3	4	0
246	MVI_0418_LE029_w1_t1_vb_03_min_54_sec_68.png	1	1	1	1	1	1	0
247	MVI_0418_LE029_w1_t1_vb_04_min_42_sec_80.png	4	3	4	2	1	2.8	0
248	MVI_0418_LE029_w1_t1_vb_05_min_03_sec_88.png	5	4	4	4	2	3.8	0
249	MVI_0418_LE029_w1_t1_vb_05_min_12_sec_88.png	1	1	4	4	1	2.2	0
250	MVI_0418_LE029_w1_t1_vb_09_min_58_sec_72.png	5	3	4	5	-1	4.25	0
251	MVI_0418_LE030_w1_t1_vb_08_min_52_sec_52.png	3	3	4	3	-1	3.25	0
252	MVI_0418_LE030_w1_t1_vb_09_min_04_sec_56.png	2	2	3	1	1	1.8	0
253	MVI_0420_LE026_w1_t1_nb_06_min_22_sec_16.png	0	0	0	0	0	0	1
254	MVI_0418_LE031_w1_t1_vb_00_min_30_sec_80.png	4	2	2	1	1	2	0
255	MVI_0420_LE026_w1_t1_nb_01_min_25_sec_64.png	0	0	0	0	0	0	1
256	MVI_0418_LE031_w1_t1_vb_01_min_03_sec_16.png	1	1	1	3	1	1.4	0
257	MVI_0418_LE031_w1_t1_vb_01_min_39_sec_28.png	4	4	3	4	1	3.2	0
258	MVI_0418_LE031_w1_t1_vb_02_min_30_sec_44.png	1	2	3	1	-1	1.75	0
259	MVI_0418_LE031_w1_t1_vb_04_min_18_sec_72.png	1	3	2	4	1	2.2	0
260	MVI_0420_LE027_w1_t1_nb_00_min_39_sec_52.png	0	0	0	0	0	0	1
261	MVI_0418_LE031_w1_t1_vb_04_min_48_sec_84.png	1	1	3	3	1	1.8	0
262	MVI_0418_LE032_w1_t1_vb_00_min_06_sec_0.png	2	4	4	1	1	2.4	0
263	MVI_0418_LE032_w1_t1_vb_00_min_12_sec_0.png	6	2	1	1	1	2.2	0
264	MVI_0418_LE032_w1_t1_vb_00_min_33_sec_80.png	1	2	1	4	-1	2	0
265	MVI_0418_LE032_w1_t1_vb_00_min_36_sec_80.png	2	2	3	2	2	2.2	0
266	MVI_0420_LE028_w1_t1_nb_01_min_58_sec_60.png	0	0	0	0	0	0	1
267	MVI_0420_LE028_w1_t1_nb_05_min_09_sec_68.png	0	0	0	0	0	0	1
268	MVI_0418_LE032_w1_t1_vb_02_min_51_sec_48.png	1	2	1	1	-1	1.25	0
269	MVI_0418_LE032_w1_t1_vb_03_min_15_sec_56.png	1	1	4	3	2	2.2	0
270	MVI_0418_LE032_w1_t1_vb_03_min_18_sec_56.png	1	1	1	1	1	1	0
271	MVI_0419_LE033_w1_t1_vb_00_min_03_sec_12.png	3	3	3	1	-1	2.5	0
272	MVI_0419_LE033_w1_t1_vb_00_min_53_sec_32.png	4	3	3	2	1	2.6	0
273	MVI_0419_LE033_w1_t1_vb_03_min_02_sec_0.png	5	4	4	4	3	4	0
274	MVI_0419_LE033_w1_t1_vb_06_min_07_sec_16.png	6	3	4	4	3	4	0
275	MVI_0420_LE028_w1_t1_nb_02_min_21_sec_64.png	0	0	0	0	0	0	1
